date,year,type,country,state,location,activity,sex,age,injury,time,species
2024-09-16 00:00:00,2024.0,Unprovoked,Morocco,Southern Morocco,West of Dakhla,Swimming - jumped off yacht,F,30,Leg severed,1600hr,Reportedly a Great White
2024-08-26 00:00:00,2024.0,Unprovoked,Jamaica,Montego Bay,Falmouth,Spearfishing,M,16,Head right arm and leg severed,,Reportedly Tiger Shark
2024-08-06 00:00:00,2024.0,Unprovoked,Belize,Gulf of Honduras,Central America,Swimming - Diving ,F,15,Right lower leg amputated after serious bite,11.30hr,Reef shark 6ft (1.8m)
2024-07-23 00:00:00,2024.0,Unprovoked,Australia,NSW,"North Shore Beach, Port Macquarie",Surfing,M,23,Serious injury to leg,1100hr,3m White Shark
2024-07-18 00:00:00,2024.0,Unprovoked,Australia,Western Australia,Trigg beach Sterling,Surfing,M,41,Minor injury to lower left leg,1735hr,Undetermined small shall shark
2024-07-08 00:00:00,2024.0,Unprovoked,USA,Florida,Ponce de Leon Inlet Volusia County,Diving into Water,M,14,Lower left leg injury,11hr15,4-5ft Blacktip shark
2024-07-05 00:00:00,2024.0,Unprovoked,USA,Florida,New Smyrna Beach,Wading,M,26,Minor injury to left foot,16hr15,Not specified
2024-07-04 00:00:00,2024.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,Middle age,Bite to left leg calf muscle removed,?,Bull shark 6 ft
2024-07-04 00:00:00,2026.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,18,Minor cuts to calf,?,6 ft shark
2024-07-04 00:00:00,2025.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,18,Superficial wounds to leg,?,6 ft shark
2024-07-04 00:00:00,2024.0,Unprovoked,USA,Floria,New Smyrna Beach,Playing football in the water,M,21,Minor injury to right foot four tendons ruptured,1100hr,Not specified
2024-07-04 00:00:00,2024.0,Unprovoked,USA,Florida,New Smyrna Beach Beach Access 14 Volusia County,Swimming,M,,Bite to left leg  ,1100hr,6ft shark
2024-06-07 00:00:00,2024.0,Unprovoked,USA,Florida,Rosemary Beach Walton County,Swimming,F,45,Significant injuries to pelvic and abdominal region,13h15,Not specified Bull shark highly suspect
2024-06-02 00:00:00,2024.0,Unprovoked,USA,California,Del Mar Beach San Diego,Swimming ocean training ,M,46,Significant bites to torso left arm and hand,9h,Not specified
2024-06-02 00:00:00,2024.0,Unprovoked,Maldive Islands,Maahvah Laamu Atoll,Indian Ocean,Military ocean training,M,23,Wounds to lower extremities Fatal,1300,Not specified
2024-05-28 00:00:00,2024.0,Unprovoked,USA,Galveston,Jamaica Beach,Wading,F,19,Bitten on left hand by 4-5ft shark,14h,Not specified
2024-05-24 00:00:00,2024.0,Unprovoked,Turks and Caicos,Providenciales Island,Leward reef,snorkelling,M,27,Major damage to right leg later amputated lower left leg left hand and forearm,15h30,Large shark
