date,year,type,country,state,location,activity,sex,age,injury,time,species
2024-09-16 00:00:00,2024.0,Unprovoked,Morocco,Southern Morocco,West of Dakhla,Swimming,F,30,Injured,1600hr,White shark
2024-08-26 00:00:00,2024.0,Unprovoked,Jamaica,Montego Bay,Falmouth,Fishing,M,16,Head right arm and leg severed,,Tiger shark
2024-08-06 00:00:00,2024.0,Unprovoked,Belize,Gulf of Honduras,Central America,Diving,F,15,Right lower leg amputated after serious bite,11.30hr,Reef shark 6ft (1.8m)
2024-07-23 00:00:00,2024.0,Unprovoked,Australia,NSW,"North Shore Beach, Port Macquarie",Surfing,M,23,Serious injury to leg,1100hr,White shark
2024-07-18 00:00:00,2024.0,Unprovoked,Australia,Western Australia,Trigg beach Sterling,Surfing,M,41,Injured,1735hr,Undetermined small shall shark
2024-07-08 00:00:00,2024.0,Unprovoked,USA,Florida,Volusia County,Diving,M,14,Lower left leg injury,11hr15,Black shark
2024-07-05 00:00:00,2024.0,Unprovoked,USA,Florida,New Smyrna Beach,Wading,M,26,Injured,16hr15,Not specified
2024-07-04 00:00:00,2024.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,Middle age,Bite to left leg calf muscle removed,?,Bull shark
2024-07-04 00:00:00,2026.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,18,Injured,?,6 ft shark
2024-07-04 00:00:00,2025.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,18,Injured,?,6 ft shark
2024-07-04 00:00:00,2024.0,Unprovoked,USA,Floria,New Smyrna Beach,Playing football in the water,M,21,Injured,1100hr,Not specified
2024-07-04 00:00:00,2024.0,Unprovoked,USA,Florida,Volusia County,Swimming,M,,Bite to left leg  ,1100hr,6ft shark
2024-06-07 00:00:00,2024.0,Unprovoked,USA,Florida,Rosemary Beach Walton County,Swimming,F,45,Injured,13h15,Bull shark
2024-06-02 00:00:00,2024.0,Unprovoked,USA,California,Del Mar Beach San Diego,Swimming,M,46,Significant bites to torso left arm and hand,9h,Not specified
2024-06-02 00:00:00,2024.0,Unprovoked,Maldive Islands,Maahvah Laamu Atoll,Indian Ocean,Military ocean training,M,23,Fatal,1300,Not specified
2024-05-28 00:00:00,2024.0,Unprovoked,USA,Galveston,Jamaica Beach,Wading,F,19,Injured,14h,Not specified
2024-05-24 00:00:00,2024.0,Unprovoked,Turks and Caicos,Providenciales Island,Leward reef,snorkelling,M,27,Major damage to right leg later amputated lower left leg left hand and forearm,15h30,Large shark
2024-05-23 00:00:00,2024.0,Unprovoked,French Polynesia,Gambier Islands,Mangareva Atoll,Diving,M,20,Injured,Not stated,2.5m shark
2024-05-02 00:00:00,2024.0,Unprovoked,USA,South Carolina,Y-73' Ledge reef Chareston Coast,Fishing,M,65,Injured,13h30,3m Sandbar shark
2024-04-26 00:00:00,2024.0,Unprovoked,Tobago,Graet Courland Bay,Turtle beach,Swimming,M,64,Injured,9h15,Bull shark
2024-04-26 00:00:00,2024.0,Unprovoked,Bahamas,Clarence Town Long Isand,Flying Fish Marina,Jumpinf from dock to boat acidentally fell into water at marina,M,24,Injured,Not advised,Carribean reef shark 7ft
2024-04-20 00:00:00,2024.0,Unprovoked,Australia,South Australia,West beach Glenelg,Fishing,M,16,Minor bite to left leg,13h40,White shark
2024-04-20 00:00:00,2024.0,Unprovoked,Australia,Western Australia,Lighthouse bombie surf spot Exemouth,Surfing,M,26,Injured,12h30,Not specified
2024-04-08 00:00:00,2024.0,Unprovoked,Maldive Islands,Nunu Atoll,Unspecified,Swimming,M,?,Injured,Not advised,Not specified
15 Mar 2024,2024.0,Unprovoked,AUSTRALIA,Queensland,Bargara Beach,Swimming,F,13,Injured,16h00,Tiger shark
04 Mar 2024,2024.0,Unprovoked,USA,Hawaii,"Old Man's, Waikiki",Surfing,M,,No injury,,Tiger shark
02 Mar-2024,2024.0,Unprovoked,USA,Hawaii,"Rainbows, Oahu",Swimming,F,11,Injured,13h30,3' to 4' shark
25 Feb-2024,2024.0,Unprovoked,AUSTRALIA,Western Australia,"Sandlnd Island, Jurian Bay",,F,46,Injured,11h30,Tiger shark
14 Feb-2024,2024.0,Unprovoked,INDIA,Maharashtra,"Vaitarna River, Palghar District",Fishing,M,32,Injured,,Bull shark
04-Feb-2024,2024.0,Provoked,TRINIDAD,,,Fishing,M,,Injured,06h30,Black shark
29 Jan-2024,2024.0,Unprovoked,AUSTRALIA,New  South Wales,"Elizabeth Bay, Sydney Harbor",Swimming,F,29,Injured,20h00,Bull shark
15 Jan-2024,2024.0,Unprovoked,BAHAMAS,Paradise Island,Paradise Island Resort,Swimming,M,10,Injured,16h00,
09-Jan-2024,2024.0,Unprovoked,AUSTRALIA,South Australia,"Walkers Beach, Elliston",Surfing,M,64,Injured,13h00,White shark
05-Jan-2024,2024.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Papiesfontein,Fishing,M,62,Injured,,Raggedtooth shark
30 Dec-2023,2023.0,Unprovoked,USA,Hawaii,"Baby Beach, Maui",Surfing,M,39,Fatal,11h12,
29 Dec-2023,2023.0,Unprovoked,MEXICO,Sonora,"Tojahui Beach, Yavaros, Huatabampo",Diving,M,22,Fatal,13h00,White shark
28 Dec-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Ethel Beach,Surfing,M,15,Fatal,13h30,White shark
25 Dec-2023,2023.0,Unprovoked,AUSTRALIA,New South Wales,Old Bar,Surfing,M,16,Injury to right thigh,16h30,
24-Dec-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Foil Boarding,M,46,Injured,15h00,Broze whaler?
18 Dec-2023,2023.0,Unprovoked,NEW ZEALAND,South Island,Riverton,Wading,F,21,Significant injury to leg,02h00,Sevengill shark
